range,column,x_start,x_end,y_start,y_end
19,11,70.47748925,73.97831197,8.054069098,9.584508166
19,12,70.47582403,73.97664676,6.523972235,8.054411304
19,13,70.47415883,73.97498155,4.993875373,6.524314441
19,14,70.47249361,73.97331634,3.463778509,4.994217579
19,15,70.47081841,73.97165113,1.933681558,3.464120717
19,16,70.4691532,73.96998592,0.403584696,1.934023854
20,1,74.47819155,77.97901435,23.35542393,24.88585298
20,2,74.47652634,77.97734914,21.82532707,23.35575612
20,3,74.47486113,77.97568393,20.2952302,21.82565926
20,4,74.47319592,77.97401872,18.76513334,20.2955624
20,5,74.47152071,77.97235351,17.23503639,18.76546553
20,6,74.4698555,77.9706883,15.70493953,17.23536867
20,7,74.46819029,77.96902309,14.17484266,15.70527181
20,8,74.46652508,77.96734788,12.6447458,14.17517486
20,9,74.46485987,77.96568259,11.11464894,12.64508801
20,10,74.46319466,77.96401738,9.584552077,11.11499114
20,11,74.46152944,77.96235217,8.054455215,9.584894283
20,12,74.45986424,77.96068696,6.524358351,8.05479742
20,13,74.45819903,77.95902175,4.994261489,6.524700557
20,14,74.45653381,77.95735654,3.464164626,4.994603695
20,15,74.45486861,77.95569133,1.934067764,3.464506832
20,16,74.45320339,77.95402612,0.403970901,1.93440997
21,1,78.46223183,81.96305455,23.35580003,24.8862391
21,2,78.46056662,81.96138934,21.82570317,23.35614224
21,3,78.45890133,81.95972413,20.29561632,21.82604537
21,4,78.45723612,81.95805892,18.76551946,20.29594851
21,5,78.45557091,81.95639371,17.23542259,18.76585165
21,6,78.4539057,81.9547285,15.70532573,17.23575479
21,7,78.45224049,81.95306329,14.17522887,15.70565792
21,8,78.45056528,81.95139808,12.64513192,14.17556106
21,9,78.44890007,81.94973287,11.11503505,12.6454642
21,10,78.44723486,81.94805766,9.584938191,11.11536725
21,11,78.44556965,81.94639237,8.05484133,9.585280398
21,12,78.44390444,81.94472716,6.524744466,8.055183536
21,13,78.44223922,81.94306195,4.994647605,6.525086673
21,14,78.44057402,81.94139674,3.464550741,4.99498981
21,15,78.4389088,81.93973153,1.934453879,3.464892947
21,16,78.43724359,81.93806632,0.404357016,1.934796085
22,1,82.44627203,85.94709475,23.35618615,24.88662521
22,2,82.44460682,85.94542954,21.82608928,23.35652835
22,3,82.44294161,85.94376433,20.29599242,21.82643149
22,4,82.44127632,85.94209912,18.76590557,20.29633463
22,5,82.43961111,85.94043391,17.23580871,18.76623777
22,6,82.4379459,85.9387687,15.70571185,17.2361409
22,7,82.43628069,85.93710349,14.17561499,15.70604404
22,8,82.43461548,85.93543828,12.64551812,14.17594718
22,9,82.43295026,85.93377307,11.11542126,12.64585031
22,10,82.43127506,85.93210786,9.585324307,11.11575345
22,11,82.42960985,85.93044265,8.055227445,9.58565659
22,12,82.42794464,85.92877736,6.525130584,8.055569741
22,13,82.42627943,85.92710215,4.99503372,6.525472788
22,14,82.42461422,85.92543694,3.464936857,4.995375926
22,15,82.42294901,85.92377173,1.934839995,3.465279064
22,16,82.4212838,85.92210652,0.404743132,1.935182202
23,1,86.43031223,89.93114495,23.35657226,24.88701142
23,2,86.42864702,89.92947974,21.8264754,23.35691456
23,3,86.42698181,89.92780453,20.29637854,21.82681761
23,4,86.4253166,89.92613932,18.76628168,20.29672074
23,5,86.42365131,89.92447411,17.23619483,18.76662388
23,6,86.4219861,89.9228089,15.70609796,17.23652702
23,7,86.42032089,89.92114369,14.1760011,15.70643016
23,8,86.41865568,89.91947848,12.64590424,14.17633329
23,9,86.41699046,89.91781327,11.11580737,12.64623643
23,10,86.41532525,89.91614806,9.585710513,11.11613957
23,11,86.41366004,89.91448285,8.055613651,9.586042706
23,12,86.41199483,89.91281764,6.525516788,8.055945843
23,13,86.41031963,89.91115235,4.995419836,6.525858994
23,14,86.40865442,89.90948714,3.465322973,4.995762131
23,15,86.40698921,89.90781193,1.93522611,3.465665178
23,16,86.40532399,89.90614672,0.405129248,1.935568317
24,1,90.41436242,93.91518515,23.35695847,24.88739754
24,2,90.41269721,93.91351994,21.82686161,23.35730067
24,3,90.41102201,93.91185473,20.29676465,21.82720381
24,4,90.4093568,93.91018952,18.76666779,20.29710695
24,5,90.40769159,93.90852431,17.23657093,18.76701009
24,6,90.40602638,93.9068491,15.70647407,17.23691313
24,7,90.40436109,93.90518389,14.17638722,15.70681627
24,8,90.40269588,93.90351868,12.64629035,14.17671941
24,9,90.40103067,93.90185347,11.11619349,12.64662255
24,10,90.39936545,93.90018826,9.586096629,11.11652568
24,11,90.39770024,93.89852305,8.055999767,9.586428822
24,12,90.39603503,93.89685784,6.525902904,8.05633196
24,13,90.39436982,93.89519263,4.995806041,6.526235097
24,14,90.39270461,93.89352742,3.46570918,4.996138235
24,15,90.3910294,93.89186213,1.935612227,3.466051385
24,16,90.3893642,93.89019692,0.405515364,1.935954523
25,1,94.39840263,97.89922535,23.35734458,24.88778365
25,2,94.39673741,97.89756014,21.82724772,23.35768679
25,3,94.3950722,97.89589493,20.29715086,21.82758993
25,4,94.39340699,97.89422972,18.767054,20.29749306
25,5,94.39174178,97.89256451,17.23695713,18.7673962
25,6,94.39006657,97.8908993,15.70686018,17.23729934
25,7,94.38840136,97.88923409,14.17676332,15.70720248
25,8,94.38673607,97.88756888,12.64667647,14.17710561
25,9,94.38507086,97.88589367,11.11657961,12.64700866
